epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,247.71,0.80573,0.59622,0.96574,0.51011,0.40689,0.42687,0.27491,1.5154,1.80117,1.49892,0.0015325,0.0015325,0.0015325
165,249.182,0.79827,0.56538,0.95588,0.62175,0.44444,0.44695,0.26957,1.51513,1.64764,1.44682,0.00153167,0.00153167,0.00153167
166,250.625,0.80658,0.59786,0.96737,0.57722,0.46245,0.44027,0.26281,1.58337,1.59691,1.4928,0.00153085,0.00153085,0.00153085
167,252.09,0.78968,0.58295,0.94107,0.59437,0.46665,0.44712,0.24596,1.55103,1.65895,1.49153,0.00153002,0.00153002,0.00153002
168,253.55,0.82481,0.59606,0.94839,0.64985,0.3883,0.4079,0.21346,1.58518,1.74424,1.55246,0.0015292,0.0015292,0.0015292
169,255.006,0.80391,0.59296,0.94981,0.46145,0.40787,0.40925,0.23128,1.51077,1.74954,1.50943,0.00152837,0.00152837,0.00152837
170,256.443,0.8233,0.60503,0.95303,0.63711,0.3785,0.43045,0.25179,1.50679,1.71042,1.50843,0.00152755,0.00152755,0.00152755
171,257.913,0.78875,0.58968,0.94836,0.45084,0.50016,0.42769,0.24292,1.54318,1.65155,1.53263,0.00152672,0.00152672,0.00152672
172,259.362,0.76298,0.54825,0.93872,0.44297,0.46016,0.38685,0.21095,1.58436,1.68546,1.59094,0.0015259,0.0015259,0.0015259
173,260.803,0.85236,0.58717,0.97984,0.34876,0.51246,0.38516,0.23062,1.57234,1.65231,1.5109,0.00152507,0.00152507,0.00152507
174,262.244,0.82527,0.57956,0.95884,0.52291,0.32639,0.3369,0.19331,1.60247,1.8684,1.4926,0.00152425,0.00152425,0.00152425
175,263.69,0.74918,0.5436,0.94281,0.3962,0.42723,0.35619,0.20524,1.65159,1.73005,1.53086,0.00152342,0.00152342,0.00152342
176,265.118,0.79264,0.57472,0.95174,0.44751,0.48377,0.40739,0.24734,1.63128,1.60939,1.53717,0.0015226,0.0015226,0.0015226
177,266.559,0.80266,0.55973,0.96985,0.57993,0.56144,0.51555,0.28658,1.48734,1.50377,1.45443,0.00152177,0.00152177,0.00152177
